;;;Vitorias;Vitorias;Conference;Conferencia;Mês;Mês;Mês;Mês;Mês;Mês;Mês
Rk;Team;Vitoria/Derrotas;Em casa;Fora de casa;Coferencia Leste;Oeste;Oct;Nov;Dec;Jan;Feb;Mar;Apr
1;Boston Celtics;64 x 18;37 x 4;27 x 14;41 x 11;23 x 7;3 x 0;11 x 4;12 x 2;11 x 5;9 x 1;12 x 4;6 x 2
2;Denver Nuggets;57 x 25;33 x 8;24 x 17;24 x 6;33 x 19;4 x 0;9 x 6;10 x 5;10 x 5;8 x 3;11 x 4;5 x 2
3;Oklahoma City Thunder;57 x 25;33 x 8;24 x 17;21 x 9;36 x 16;3 x 1;9 x 5;10 x 3;11 x 6;8 x 3;11 x 4;5 x 3
4;Minnesota Timberwolves;56 x 26;30 x 11;26 x 15;19 x 11;37 x 15;1 x 2;13 x 2;10 x 3;10 x 7;8 x 3;9 x 6;5 x 3
5;Los Angeles Clippers;51 x 31;25 x 16;26 x 15;21 x 9;30 x 22;3 x 1;5 x 9;11 x 2;12 x 3;6 x 5;10 x 7;4 x 4
6;Dallas Mavericks;50 x 32;25 x 16;25 x 16;19 x 11;31 x 21;3 x 0;8 x 6;8 x 8;7 x 8;8 x 3;11 x 4;5 x 3
7;New York Knicks;50 x 32;27 x 14;23 x 18;35 x 17;15 x 15;2 x 2;9 x 5;6 x 8;14 x 2;4 x 8;9 x 5;6 x 2
8;Milwaukee Bucks;49 x 33;31 x 11;18 x 22;34 x 18;15 x 15;2 x 1;11 x 5;11 x 2;8 x 8;7 x 5;8 x 6;2 x 6
9;New Orleans Pelicans;49 x 33;21 x 19;28 x 14;19 x 11;30 x 22;2 x 1;8 x 8;9 x 5;8 x 7;8 x 4;10 x 4;4 x 4
10;Phoenix Suns;49 x 33;25 x 16;24 x 17;20 x 10;29 x 23;2 x 2;9 x 5;6 x 8;11 x 5;7 x 4;8 x 7;6 x 2
11;Cleveland Cavaliers;48 x 34;26 x 15;22 x 19;31 x 21;17 x 13;1 x 3;9 x 6;8 x 5;11 x 2;9 x 4;7 x 10;3 x 4
12;Indiana Pacers;47 x 35;26 x 15;21 x 20;32 x 20;15 x 15;2 x 1;7 x 7;8 x 6;10 x 7;7 x 5;8 x 7;5 x 2
13;Los Angeles Lakers;47 x 35;28 x 14;19 x 21;20 x 10;27 x 25;2 x 2;9 x 7;6 x 8;7 x 8;9 x 3;9 x 5;5 x 2
14;Orlando Magic;47 x 35;29 x 12;18 x 23;32 x 20;15 x 15;2 x 2;11 x 3;6 x 8;6 x 10;9 x 3;9 x 5;4 x 4
15;Philadelphia 76ers;47 x 35;25 x 16;22 x 19;31 x 21;16 x 14;2 x 1;10 x 5;10 x 4;7 x 7;4 x 8;7 x 10;7 x 0
16;Miami Heat;46 x 36;22 x 19;24 x 17;32 x 20;14 x 16;1 x 3;10 x 5;8 x 5;6 x 10;8 x 3;8 x 7;5 x 3
17;Golden State Warriors;46 x 36;21 x 20;25 x 16;20 x 10;26 x 26;3 x 1;6 x 9;6 x 7;5 x 7;11 x 3;9 x 7;6 x 2
18;Sacramento Kings;46 x 36;24 x 17;22 x 19;16 x 14;30 x 22;2 x 1;8 x 6;9 x 5;8 x 7;6 x 6;10 x 6;3 x 5
19;Houston Rockets;41 x 41;27 x 14;14 x 27;13 x 17;28 x 24;0 x 3;8 x 5;7 x 7;7 x 10;3 x 9;13 x 2;3 x 5
20;Chicago Bulls;39 x 43;20 x 21;19 x 22;22 x 29;17 x 14;2 x 2;4 x 12;9 x 5;8 x 7;5 x 5;8 x 8;3 x 4
21;Atlanta Hawks;36 x 46;21 x 20;15 x 26;22 x 30;14 x 16;2 x 2;7 x 7;4 x 10;7 x 8;6 x 6;8 x 7;2 x 6
22;Brooklyn Nets;32 x 50;20 x 21;12 x 29;24 x 28;8 x 22;1 x 2;8 x 7;6 x 9;4 x 10;4 x 8;6 x 10;3 x 4
23;Utah Jazz;31 x 51;21 x 20;10 x 31;15 x 15;16 x 36;1 x 3;5 x 10;8 x 6;10 x 6;3 x 8;2 x 13;2 x 5
24;Memphis Grizzlies;27 x 55;9 x 32;18 x 23;13 x 18;14 x 37;0 x 4;4 x 9;6 x 9;8 x 7;2 x 10;4 x 11;3 x 5
25;Toronto Raptors;25 x 57;14 x 27;11 x 30;18 x 34;7 x 23;1 x 3;8 x 7;3 x 10;5 x 10;5 x 7;1 x 14;2 x 6
26;San Antonio Spurs;22 x 60;12 x 29;10 x 31;8 x 23;14 x 37;2 x 2;1 x 13;2 x 12;5 x 11;2 x 10;6 x 9;4 x 3
27;Charlotte Hornets;21 x 61;11 x 30;10 x 31;14 x 38;7 x 23;1 x 2;5 x 9;1 x 12;3 x 13;5 x 8;3 x 12;3 x 5
28;Portland Trail Blazers;21 x 61;11 x 30;10 x 31;13 x 17;8 x 44;1 x 3;5 x 9;3 x 10;6 x 11;0 x 9;4 x 13;2 x 6
29;Washington Wizards;15 x 67;7 x 34;8 x 33;11 x 41;4 x 26;1 x 2;2 x 13;3 x 11;3 x 12;0 x 12;5 x 11;1 x 6
30;Detroit Pistons;14 x 68;7 x 33;7 x 35;10 x 41;4 x 27;2 x 2;0 x 15;1 x 12;3 x 12;3 x 8;4 x 12;1 x 7
